投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
569635,东风日产,楼兰,2019款 2.5 S/C HEV XE 四驱 混动 智联尊尚版 国V,东风日产楼兰后车轮吃胎无法修复,前后桥及悬挂系统吃胎偏磨,2021-02-02,用户评分
569633,北京现代,途胜,2019款 280TGDi 双离合 两驱 时尚版 国VI,北京现代途胜更换变速箱总成要求给予赔偿,变速器机械部件故障变速器跳挡承诺不兑现不履行三包,2021-02-02,处理反馈
569632,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,大众速腾4S店维修技术差 发动机异响漏油,发动机异响发动机漏油发动机无法启动变速器抖动变速器拖挡人员技术多次返修人员技术维修技术差,2021-02-02,用户评分
569630,一汽奔腾,奔腾X40,2019款 1.6L 自动 豪华型 国VI,一汽奔腾X40发动机故障灯亮要求免费维修,发动机故障灯亮发动机缸体破损,2021-02-02,处理反馈
569629,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞车门防撞梁生锈 天窗异响 ,车身附件及电器车身生锈车身附件及电器天窗异响服务态度不解决问题,2021-02-02,信息审核
569625,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图后视镜折叠故障车内异响,车身附件及电器车内异响车身附件及电器后视镜故障,2021-02-02,处理反馈
569624,一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L后排座椅下部网关进水,车身附件及电器车身漏水其他疑似设计缺陷,2021-02-02,信息审核
569623,长安福特,蒙迪欧新能源,2018款 2.0 PHEV 智尊旗舰型,长安福特蒙迪欧新能源索赔方向盘材质差,配件争议配件质量差,2021-02-02,用户评分
569620,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L启动时变速箱挂挡不走,变速器无法加速,2021-02-02,信息审核
569619,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,大众迈腾变速箱机电单元故障 无法换挡,变速器无法换挡变速器故障灯亮变速器电脑板故障,2021-02-02,用户评分
569618,广汽本田,飞度,2018款 1.5L 手动 舒适版,广汽本田飞度冷启动VTEC执行器异响,发动机异响,2021-02-02,处理反馈
569616,华晨中华,中华V7,2018款 280T DCT 豪华型 5座,华晨中华V7发动机烧机油希望尽快处理,发动机烧机油,2021-02-02,信息审核
569614,上汽大众,途昂,2020款 380TSI 四驱 豪华版 国V,上汽大众途昂发动机熄火 底盘异响,发动机熄火前后桥及悬挂系统底盘异响,2021-02-02,处理反馈
569613,东南汽车,V3菱悦,2008款 1.5 手动 豪华版,东南V3菱悦手刹缺陷厂家未召回处理,制动系统手刹故障承诺不兑现服务承诺不兑现,2021-02-02,处理反馈
569612,长安福特,翼虎,2013款 2.0T 四驱尊贵型,长安福特翼虎油箱有缺陷导致加不满油,车身附件及电器油箱有缺陷其他疑似设计缺陷,2021-02-02,用户评分
569611,吉利汽车,帝豪GS,2018款 1.8L 自动 优雅版 领尚型,吉利帝豪GS变速箱异响 坡道起步动力消失,发动机动力消失变速器异响,2021-02-02,处理反馈
569608,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田致享冷车启动异响 变速箱行驶异响,发动机异响变速器异响,2021-02-02,信息审核
569606,长城汽车,哈弗H2,2016款 1.5T 手动 两驱精英型,哈弗H2打方向沉重  方向盘抖动 车辆异响,转向系统抖动转向系统打方向沉重前后桥及悬挂系统跑偏车身附件及电器车身异响,2021-02-02,处理反馈
569604,东风本田,INSPIRE,2019款 260TURBO 精致版 国VI,东风本田INSPIRE中控台异响售后服务态度差,车身附件及电器中控台异响服务态度态度蛮横,2021-02-02,处理反馈
569600,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机油耗升高 自动启停失效,发动机油耗高车身附件及电器发动机启停系统故障,2021-02-02,处理反馈
569599,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国V,上汽大众凌渡经销商出售库存车要求处理,销售欺诈出售库存车,2021-02-02,用户评分
569595,长城汽车,哈弗M6,2018款 1.5T DCT 两驱 精英型,哈弗M6车身出现生锈厂家不处理问题,车身附件及电器车身生锈,2021-02-02,用户评分
569594,江铃集团新能源,江铃E200L,2017款 E200P 标准版,江铃新能源E200L充电机故障无配件维修,车身附件及电器充电故障配件争议无零配件,2021-02-02,用户评分
569593,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8PLUS智云系统故障置换补贴未兑现,车身附件及电器车载互联故障车身附件及电器车钥匙故障承诺不兑现销售承诺不兑现,2021-02-02,处理反馈
569590,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉电瓶亏电 变速器顿挫异响,变速器异响变速器顿挫车身附件及电器电瓶故障,2021-02-02,信息审核
569581,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放后尾灯灯罩开裂进水,车身附件及电器车灯进水车身附件及电器灯罩裂纹或变形服务态度不解决问题,2021-02-02,信息审核
569579,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机启动困难起动机故障,发动机无法启动,2021-02-02,用户评分
569577,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客变速箱阀体故障无法加速,变速器无法加速变速器滑阀箱故障,2021-02-02,用户评分
569576,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速器微动开关故障报警,变速器故障灯亮变速器挡把总成故障,2021-02-02,处理反馈
569575,东风标致,标致207,2010款 1.4L 手动 ETEC 驭乐版 三厢,东风标致207左后轮倾斜行驶抖动异响,制动系统刹车偏软制动系统刹车盘问题前后桥及悬挂系统车轮异响前后桥及悬挂系统行驶中颠簸,2021-02-02,处理反馈
569573,奇瑞汽车,捷途X70 PLUS,2021款 1.5T 手动 林 5座,捷途X70 PLUS大灯不亮 360影像模糊,车身附件及电器影音系统故障车身附件及电器车灯不亮,2021-02-02,处理反馈
569572,一汽奔腾,奔腾B30,2016款 1.6L 自动 豪华型,一汽奔腾B30转向卡滞厂家不予索赔,转向系统卡滞服务态度不予索赔,2021-02-01,处理反馈
569571,奇瑞汽车,捷途X90,2020款 1.6T DCT 影御版 5座,捷途X90车辆置换补贴未兑现希望处理,承诺不兑现销售承诺不兑现,2021-02-01,用户评分
569567,上汽大众斯柯达,柯珞克,2019款 TSI280 智行豪华版 国V,斯柯达柯珞克购车置换补贴厂家一直不提供,承诺不兑现销售承诺不兑现,2021-02-01,处理反馈
569566,上汽大众斯柯达,速派,2016款 TSI330 DSG 智行版,斯柯达速派变速箱机电控制单元有质量问题,变速器滑阀箱故障变速器电脑板故障,2021-02-01,处理反馈
569564,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁互联功能无法使用 油箱异响,车身附件及电器车载互联故障车身附件及电器汽油箱异响,2021-02-01,用户评分
569562,吉利新能源,帝豪GSe,2018款 臻尚型,吉利帝豪GSe方向机异响 充电机慢充故障,转向系统异响转向系统转向机故障车身附件及电器充电故障,2021-02-01,用户评分
569561,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞普利司通轮胎爆胎,轮胎爆胎,2021-02-01,信息审核
569558,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌变速箱顿挫异响发动机缸盖腐蚀,发动机缸体破损变速器异响变速器顿挫,2021-02-01,信息审核
569556,北京奔驰,奔驰GLC,2018款 GLC 200 4MATIC 改款,奔驰GLC低速行驶和倒车时踩刹车异响,制动系统异响,2021-02-01,厂家受理
569555,一汽-大众,宝来,2018款 1.5L 自动 舒适型,一汽大众宝来倒车时刹车异响希望厂家处理,制动系统异响,2021-02-01,处理反馈
569552,东风本田,INSPIRE,2019款 260TURBO 精致版 国VI,东风本田INSPIRE刹车抖动 后轮吃胎偏磨,制动系统抖动前后桥及悬挂系统吃胎偏磨,2021-02-01,处理反馈
569550,猎豹汽车,猎豹CS9,2017款 1.5L CVT 风尚型,猎豹CS9行驶时水箱温度高 冷却系统故障,发动机冷却系统故障,2021-02-01,信息审核
569548,东南汽车,东南DX5,2021款 1.5T CVT 尊贵型,东南DX54S店销售库存车要求办理退车,销售欺诈出售库存车,2021-02-01,处理反馈
569547,一汽-大众,捷达,2012款 1.6 手动 典藏版,一汽大众捷达全车车身生锈 车体腐烂,车身附件及电器车身生锈,2021-02-01,处理反馈
569543,长安汽车,长安CS55,2018款 1.5T 自动 炫色型 国V,长安CS55发动机抖动 缸压不足 加速无力,发动机抖动发动机漏气,2021-02-01,用户评分
569539,观致汽车,观致5,2019款 观致5S 1.6T GDI 尊贵型,观致5前后轮磨损严重厂家拖延不处理,前后桥及悬挂系统吃胎偏磨,2021-02-01,信息审核
569536,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408大修发动机后烧机油,发动机烧机油,2021-02-01,厂家受理
569535,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机冬天启动异响,发动机异响,2021-02-01,处理反馈
569531,长安汽车,长安CS55,2017款 1.5T 自动 炫色型,长安CS55优科豪马轮胎有起皮掉块的现象,轮胎起皮,2021-02-01,处理反馈
569529,东风日产,骐达TIIDA,2016款 1.6L CVT 智行版,东风日产骐达发动机爆震车内抖动维修未解决,发动机异响发动机爆震车身附件及电器车身共振,2021-02-01,处理反馈
569520,东风日产,轩逸,2020款 改款 1.6L XE CVT 舒享版,东风日产轩逸发动机渗油希望厂家处理问题,发动机漏油,2021-02-01,处理反馈
569519,小鹏汽车,小鹏汽车P7,2020款 后驱 超长续航 智尊版,小鹏P7雷达传感器故障导致不能使用,车身附件及电器倒车雷达失灵,2021-02-01,信息审核
569518,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障 刹车抖动,变速器电脑板故障制动系统抖动,2021-02-01,处理反馈
569515,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳加速变速箱抖动异响希望处理,变速器异响变速器抖动,2021-02-01,处理反馈
569514,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客变速箱和发动机连接处漏油,发动机漏油变速器漏油,2021-02-01,用户评分
569513,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧三元催化器反复故障希望处理,车身附件及电器三元催化器故障,2021-02-01,处理反馈
569512,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸低速轻踩油门变速箱异响,变速器异响,2021-02-01,处理反馈
569507,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,大众探岳车内装饰条异响 玻璃异响,车身附件及电器门窗异响车身附件及电器车内异响,2021-02-01,处理反馈
569504,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,现代途胜行驶时车辆抖动 发动机故障灯亮,发动机抖动发动机故障灯亮,2021-02-01,处理反馈
569503,广汽丰田,雷凌,2021款 185T CVT 运动版,广汽丰田雷凌后保险杠左后轮毂无配件,服务态度故意拖延配件争议无零配件,2021-02-01,信息审核
569496,上汽大众,辉昂,2021款 380TSI 豪华版,大众辉昂雨刮器异响 冷车起步异响,变速器异响制动系统异响车身附件及电器车身异响车身附件及电器雨刮器故障,2021-02-01,用户评分
569490,一汽-大众,宝来,2021款 1.5L 自动 精英智联版,一汽大众宝来新车故障灯亮 大灯不亮,发动机故障灯亮车身附件及电器车灯不亮服务态度不解决问题,2021-02-01,处理反馈
569489,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁智联app无法使用 与宣传不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2021-02-01,处理反馈
569486,一汽丰田,卡罗拉,2014款 1.6L CVT GL-i,一汽丰田卡罗拉变速箱阀体故障 故障灯亮,变速器故障灯亮变速器电脑板故障,2021-02-01,信息审核
569482,北京现代,悦纳,2016款 1.4L 手动 炫酷版 GLS,现代悦纳曲轴螺丝断裂 皮带轮飞落 漏密封油,发动机漏油发动机曲轴故障,2021-02-01,用户评分
569481,吉利汽车,嘉际,2019款 1.8TD 自动 舒享型,吉利嘉际4S店未按时返还旅游基金,承诺不兑现销售承诺不兑现,2021-02-01,用户评分
569479,东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净速版,本田CR-V行驶时变速箱漏油 报故障码,变速器漏油变速器故障灯亮,2021-02-01,处理反馈
569476,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸行驶时转向晃动 刹车异响,转向系统方向盘自由间隙过大制动系统异响,2021-02-01,处理反馈
569474,一汽丰田,卡罗拉,2017款 1.2T S-CVT GL-i 改款,一汽丰田卡罗拉中控台开裂更换未解决,车身附件及电器仪表台开裂,2021-02-01,信息审核
569473,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 豪华版,奇瑞艾瑞泽5智能车机系统无法使用,车身附件及电器车载互联故障,2021-02-01,厂家受理
569469,北京奔驰,奔驰E级,2019款 E 300 L 时尚型,北京奔驰E级召回更换转向机回位严重不正,转向系统方向盘不正,2021-02-01,处理反馈
569465,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L发动机动力消失报警抖动,发动机漏油发动机抖动发动机故障灯亮发动机动力消失,2021-02-01,处理反馈
569463,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国VI,东风本田CR-V发动机机油增多请厂家解决,发动机机油增多,2021-02-01,处理反馈
569461,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯发白影响夜晚驾驶,车身附件及电器车灯不亮,2021-02-01,处理反馈
569460,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁汽油箱异响一直推诿未处理,车身附件及电器汽油箱异响服务态度不解决问题服务态度互相推诿,2021-02-01,处理反馈
569459,捷豹,捷豹F-PACE,2020款 2.0T 赛旗版,捷豹F-PACE前杠掉漆 水箱框架开裂,车身附件及电器漆面起泡开裂车身附件及电器部件开裂销售欺诈出售问题车,2021-02-01,用户评分
569457,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,长安CS35车辆行驶时突然出现自燃,车身附件及电器车辆自燃,2021-02-01,处理反馈
569455,吉利汽车,远景X6,2016款 1.8L 手动 豪华型,吉利远景X6座椅生锈 转向十字轴生锈,车身附件及电器车身生锈,2021-02-01,处理反馈
569454,东风雪铁龙,C4世嘉,2016款 1.6L 手动 豪华型,东风雪铁龙C4世嘉转向柱轴承损坏方向盘晃动,转向系统方向盘自由间隙过大,2021-02-01,处理反馈
569453,奇瑞汽车,捷途X90,2020款 1.5T DCT 影智版 5座,捷途X90右后门变形导致玻璃升降受阻,车身附件及电器车身不平整,2021-02-01,处理反馈
569449,广汽丰田,雷凌,2017款 1.8H GS CVT 精英天窗版 国VI 改款 双擎,广汽丰田雷凌变速箱异响经销商不予索赔,变速器异响服务态度不予索赔,2021-02-01,信息审核
569447,沃尔沃亚太,沃尔沃S90,2021款 B5 智远豪华版,亚太沃尔沃S90蓄电池充电系统故障,车身附件及电器充电故障,2021-02-01,信息审核
569445,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L自动启停失灵发动机油耗高,发动机油耗高变速器异响转向系统抖动车身附件及电器发动机启停系统故障,2021-02-01,处理反馈
569444,江淮汽车,瑞风M3,2018款 1.6L 速运版 7座,江淮瑞风M3发动机活塞断裂顶缸希望处理,发动机缸体破损,2021-02-01,用户评分
569437,一汽奔腾,奔腾B30,2016款 1.6L 自动 十周年纪念版,一汽奔腾B30车速在60迈左右时方向卡滞,转向系统卡滞,2021-02-01,处理反馈
569434,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 智尚版 国V,一汽丰田RAV4荣放前雾灯不亮希望给予解决,车身附件及电器车灯不亮,2021-02-01,信息审核
569433,BEIJING汽车,BEIJING-EU5,2020款 R500 智风版,BEIJING-EU5动力电池故障希望尽快处理,车身附件及电器动力电池故障,2021-02-01,用户评分
569428,理想,理想ONE,2020款 增程6座版,理想ONE销售宣传续航里程与实际不符,销售欺诈与宣传不符,2021-02-01,信息审核
569426,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 都市版 国V,一汽丰田RAV4荣放车身生锈 漆面起泡,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2021-02-01,信息审核
569424,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408电源管理模块故障要求免费维修,车身附件及电器电瓶故障,2021-02-01,用户评分
569420,东风日产,轩逸,2021款 经典 1.6 XE 手动 舒适版,东风日产轩逸变速箱异响希望厂家处理,变速器异响,2021-02-01,用户评分
569419,北京奔驰,奔驰GLC,2021款 GLC 300 L 4MATIC 动感型,北京奔驰GLC发动机启停功能故障 刹车抖动,制动系统异响制动系统抖动车身附件及电器发动机启停系统故障,2021-02-01,处理反馈
569418,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 时尚型,奇瑞瑞虎8行驶过程中发动机突然熄火,发动机熄火,2021-02-01,用户评分
569416,东风本田,INSPIRE,2019款 锐·混动 2.0L 净越版 国V,东风本田INSPIRE智导互联系统不更新,车身附件及电器导航问题服务流程不完善系统升级问题,2021-02-01,用户评分
569415,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁后轮吃胎偏磨希望处理,前后桥及悬挂系统吃胎偏磨,2021-02-01,处理反馈
569414,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,菲亚特致悦行驶时变速箱失去动力,变速器无法加速,2021-02-01,厂家受理
569407,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座,斯柯达柯迪亚克变速箱故障报警 无法加速,变速器无法换挡变速器故障灯亮变速器无法加速,2021-02-01,用户评分
569405,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,日产骐达售后维修技术差导致故障加重,车身附件及电器汽油箱异响人员技术维修技术差,2021-02-01,用户评分
569398,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL变速器漏油经销商不解决问题,变速器漏油服务态度不解决问题,2021-02-01,用户评分
569396,一汽丰田,卡罗拉,2016款 1.6L CVT  GL-i炫酷版,一汽丰田卡罗拉4S店以原厂名义换副厂配件,配件争议使用非原厂件,2021-02-01,信息审核
569392,东风风行,景逸X5,2017款 1.6L 手动 豪华型,东风风行景逸X5离合器异响 发动机异响,发动机异响离合器异响,2021-02-01,用户评分
569391,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度起动发动机时存在打齿异响,发动机异响,2021-02-01,处理反馈
569390,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右半轴防尘套漏油,前后桥及悬挂系统球笼套漏油,2021-02-01,信息审核
569389,华晨宝马,宝马3系,2016款 320Li 豪华设计套装,华晨宝马3系方向盘喇叭及功能键经常失灵	,车身附件及电器喇叭故障车身附件及电器灯组开关故障,2021-02-01,厂家受理
569387,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图司机座椅塌陷要求解决,车身附件及电器座椅故障,2021-02-01,用户评分
569384,吉利汽车,缤瑞,2018款 200T DCT 缤耀版,吉利缤瑞更换使用非原厂配件 无维修记录,人员技术操作不规范配件争议使用非原厂件,2021-02-01,处理反馈
569382,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,丰田卡罗拉首保后变速箱顿挫异响加剧,变速器异响变速器顿挫,2021-02-01,信息审核
569379,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来涡轮增压有油污 发动机缺机油,发动机漏油发动机涡轮增压器故障,2021-02-01,用户评分
569378,东风风行,菱智M5EV,2020款 舒适型 7座,东风风行菱智M5EV多次熄火4S店找不到原因,发动机熄火人员技术查不出原因,2021-02-01,处理反馈
569376,猎豹汽车,Mattu,2020款 1.6T DCT 尊贵型,猎豹Mattu发动机故障 变速箱无动力输出,发动机故障灯亮变速器脱挡车身附件及电器影音系统故障,2021-02-01,信息审核
569374,北京现代,伊兰特,2021款 240TGDi TOP 旗舰版,北京现代伊兰特交款之后厂家不发车,承诺不兑现提不到车,2021-02-01,用户评分
569367,广汽本田,飞度,2016款 1.5L SE CVT 时尚型,广汽本田飞度发动机冷启动VTC执行器异响,发动机异响,2021-02-01,处理反馈
569364,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L经销商收取服务费 强制购买,服务收费变相收费服务收费强制购买配件争议配件质量差,2021-02-01,信息审核
569361,SWM斯威汽车,SWM斯威X7,2016款 1.5T 舒适型,SWM斯威X7发动机熄火底盘异响转向间隙大,发动机熄火转向系统方向盘自由间隙过大前后桥及悬挂系统底盘异响,2021-02-01,厂家受理
569357,奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国VI,奇瑞艾瑞泽5车门漏水希望尽快得到处理,车身附件及电器车身漏水,2021-02-01,处理反馈
569351,东风日产,轩逸,2016款 1.6XV CVT 智享版,东风日产轩逸上传错误维修记录导致车辆贬值,人员技术操作不规范,2021-02-01,处理反馈
569350,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障,变速器电脑板故障,2021-02-01,处理反馈
569349,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 豪华型 红标,哈弗H6 Coupe电瓶频繁亏电希望处理,车身附件及电器电瓶故障,2021-02-01,用户评分
569348,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3行驶时打方向沉重有异响,转向系统异响转向系统打方向沉重,2021-02-01,处理反馈
569346,北京现代,悦动,2020款 1.6L 自动 悦目版GL,北京现代悦动发动机异响行驶跑偏车身共振,发动机异响发动机油门故障前后桥及悬挂系统跑偏车身附件及电器车身共振,2021-02-01,用户评分
569345,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 减震器异响,发动机烧机油前后桥及悬挂系统减震器异响,2021-02-01,处理反馈
569342,广汽丰田,雷凌,2017款 1.8H GS CVT 精英天窗版 国V 改款 双擎,丰田雷凌加装中控屏出现故障 无法换挡,变速器无法换挡车身附件及电器影音系统故障,2021-02-01,信息审核
569339,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,丰田汉兰达低压燃油泵设计缺陷厂家不回复,服务态度厂家不回复其他召回方案不合理,2021-02-01,信息审核
569335,奇瑞汽车,瑞虎5x,2017款 1.5T 手动 精英型,奇瑞瑞虎5x高速行驶发动机抖动故障报警,发动机抖动发动机故障灯亮,2021-02-01,处理反馈
569331,长城汽车,风骏7,2020款 2.0T 柴油 两驱 新冠军版 公务型 小双 4D20M,长城风骏7发动机涡轮增压器损坏不予索赔,发动机涡轮增压器故障服务态度不予索赔,2021-02-01,用户评分
569327,奇瑞汽车,瑞虎7,2020款 1.5T 手动 精英型,奇瑞瑞虎7天窗异响 朝阳轮胎鼓包,轮胎鼓包车身附件及电器车内异响车身附件及电器天窗异响人员技术操作不规范,2021-02-01,处理反馈
569326,东风悦达起亚,起亚KX5,2016款 1.6T 自动 两驱DLX,东风悦达起亚KX5中控台表面开裂,车身附件及电器仪表台开裂,2021-02-01,处理反馈
569325,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉后备箱缝隙不一致要求解决,车身附件及电器车身不平整,2021-02-01,信息审核
569320,吉利汽车,远景X6,2016款 1.8L 手动 豪华型,吉利远景X6减震器漏油行驶时异响,前后桥及悬挂系统减震器异响前后桥及悬挂系统减震器漏油,2021-02-01,用户评分
569319,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾变速箱行驶异响希望厂家解决,变速器异响,2021-02-01,处理反馈
569317,东风雪铁龙,雪铁龙C3-XR,2017款 230THP 自动 先锋型,东风雪铁龙C3-XR方向机故障影响驾驶,转向系统转向机故障,2021-02-01,处理反馈
569316,江铃汽车,驭胜S350,2016款 2.0T 自动 两驱 汽油 豪华版 7座,江铃驭胜S350经销商欺骗更换电脑模块,发动机无法启动人员技术过度维修,2021-02-01,信息审核
569313,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 特供版 7座,奇瑞瑞虎8悬架异响 中控台异响 发动机漏油,发动机漏油前后桥及悬挂系统悬挂故障车身附件及电器中控台异响,2021-02-01,处理反馈
569312,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉低速行驶变速箱顿挫异响,变速器异响变速器顿挫,2021-02-01,信息审核
569311,北京现代,北京现代ix35,2012款 2.0L 自动 两驱 精英版 GLS,北京现代ix35启动后发动机敲缸异响,发动机异响,2021-02-01,处理反馈
569310,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 车身共振,发动机烧机油车身附件及电器车身共振,2021-02-01,处理反馈
569309,特斯拉中国,Model 3,2020款 长续航 后轮驱动版,特斯拉Model 3行车安全辅助系统故障报警,车身附件及电器行车安全辅助系统故障人员技术查不出原因,2021-02-01,信息审核
569308,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来电瓶亏电影响出行用车,车身附件及电器电瓶故障,2021-02-01,用户评分
569304,长安福特,福睿斯,2019款 改款 1.5L 自动 质享型（胎压监测） 国VI,长安福特福睿斯4S店变相收费购车补贴不兑现,服务态度态度蛮横服务收费变相收费服务收费强制购买承诺不兑现销售承诺不兑现,2021-02-01,用户评分
569299,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 时尚型 创享版 蓝标,哈弗H2转向沉重虚位大希望尽快处理,转向系统打方向沉重转向系统方向盘自由间隙过大,2021-02-01,处理反馈
569298,广汽乘用车,传祺GS5,2019款 235T 自动 豪华版,广汽传祺GS5驾驶员安全带无法收回,车身附件及电器安全带故障,2021-02-01,处理反馈
569297,长安福特,锐际,2020款 EcoBoost 245 两驱 聪慧嘉享款,长安福特锐际转向失去助力 转向沉重,转向系统打方向沉重转向系统助力泵故障,2021-02-01,用户评分
569296,奇瑞汽车,瑞虎7,2016款 2.0L CVT 耀臻版,奇瑞瑞虎7行驶时变速箱油管爆裂,变速器漏油,2021-02-01,处理反馈
569291,沃尔沃亚太,沃尔沃S60,2019款 S60L 改款 T5 智进进阶版,亚太沃尔沃S60启动后变速箱异响,变速器异响,2021-02-01,信息审核
569287,江淮汽车,瑞风S7,2017款 1.5T 手动 豪华智能型,厂家一直告知4s店水箱框架一直缺货,配件争议无零配件,2021-02-01,用户评分
569286,东风本田,本田XR-V,2020款 1.5L CVT 经典版,东风本田XR-V胎压故障报警要求解决,车身附件及电器胎压监测故障,2021-02-01,处理反馈
569281,江铃汽车,驭胜S350,2014款 2.4T  自动  两驱 柴油 豪华天窗版 5座,江铃驭胜S350车身多处生锈存在质量问题,车身附件及电器车身生锈,2021-02-01,信息审核
569277,华晨宝马,宝马1系,2020款 120i M运动套装,宝马1系三元催化器故障导致加速异响,车身附件及电器排气管异响车身附件及电器三元催化器故障,2021-02-01,信息审核
569276,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408机油异常增多希望处理,发动机机油增多,2021-02-01,处理反馈
569272,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉厂家未履行三包换车未兑现,承诺不兑现不履行三包,2021-02-01,信息审核
569270,一汽红旗,红旗H5,2018款 30TD 智联韵动版,一汽红旗H5韩泰轮胎老化开裂影响安全,轮胎开裂,2021-02-01,处理反馈
569269,东风小康,风光580,2016款 1.5T 手动 豪华型,东风风光580倒车影像卡死 发动机噪音大,发动机噪音大车身附件及电器影音系统故障,2021-02-01,处理反馈
